name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Louise Jones,314,Aladdin (1992),Beauty and the Beast (1991),True Lies (1994),Mrs. Doubtfire (1993),Speed (1994),Die Hard: With a Vengeance (1995),Sleepless in Seattle (1993),Braveheart (1995),Pretty Woman (1990),Outbreak (1995),Sabrina (1995),Sense and Sensibility (1995),Persuasion (1995)
Louise Jones,315,Apollo 13 (1995),Beauty and the Beast (1991),Braveheart (1995),Outbreak (1995),Ace Ventura: Pet Detective (1994),Cliffhanger (1993),Quiz Show (1994),"Client, The (1994)",Waterworld (1995),Dumb & Dumber (Dumb and Dumber) (1994),Get Shorty (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Babe (1995)
Louise Jones,316,Terminator 2: Judgment Day (1991),Apollo 13 (1995),"Fugitive, The (1993)","Matrix, The (1999)",Spider-Man (2002),Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Die Hard: With a Vengeance (1995),Mission: Impossible (1996),Saving Private Ryan (1998),Braveheart (1995),Forrest Gump (1994),"Lion King, The (1994)"
Louise Jones,317,"Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Toy Story (1995),Toy Story 2 (1999),Harry Potter and the Prisoner of Azkaban (2004),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Ice Age (2002),Up (2009),Jaws 2 (1978),Shrek (2001),"Animal, The (2001)"
Louise Jones,318,Garden State (2004),Amadeus (1984),Million Dollar Baby (2004),Sixteen Candles (1984),Monty Python's Life of Brian (1979),"Pianist, The (2002)",Billy Elliot (2000),"Godfather, The (1972)",Big Fish (2003),Misery (1990),This Is Spinal Tap (1984),Gandhi (1982),Waiting for Guffman (1996)
Louise Jones,319,"Usual Suspects, The (1995)",Monty Python and the Holy Grail (1975),L.A. Confidential (1997),"Fish Called Wanda, A (1988)",This Is Spinal Tap (1984),"Sixth Sense, The (1999)",Good Will Hunting (1997),There's Something About Mary (1998),Hoop Dreams (1994),"Sting, The (1973)",Taxi Driver (1976),Eat Drink Man Woman (Yin shi nan nu) (1994),Like Water for Chocolate (Como agua para chocolate) (1992)
Louise Jones,320,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Trainspotting (1996),"Matrix, The (1999)","Big Lebowski, The (1998)","Shawshank Redemption, The (1994)",American History X (1998),Little Miss Sunshine (2006),Kill Bill: Vol. 1 (2003),"Godfather, The (1972)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Welcome to the Dollhouse (1995),Rushmore (1998),Fight Club (1999)
Louise Jones,321,Anchorman: The Legend of Ron Burgundy (2004),Watchmen (2009),Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Airplane! (1980),Gone Girl (2014),Little Miss Sunshine (2006),In Bruges (2008),"Big Lebowski, The (1998)",Lost in Translation (2003),Zodiac (2007),"Shawshank Redemption, The (1994)",Jurassic Park (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Louise Jones,322,Die Hard 2 (1990),"Last of the Mohicans, The (1992)",Die Hard (1988),Lethal Weapon 2 (1989),Ocean's Eleven (2001),As Good as It Gets (1997),Legends of the Fall (1994),Twister (1996),Get Shorty (1995),"Lord of the Rings: The Return of the King, The (2003)",Heat (1995),First Knight (1995),Color of Night (1994)
Louise Jones,323,"Usual Suspects, The (1995)",Wallace & Gromit: The Wrong Trousers (1993),Shakespeare in Love (1998),Four Weddings and a Funeral (1994),Wallace & Gromit: A Close Shave (1995),"Silence of the Lambs, The (1991)","Sting, The (1973)","Full Monty, The (1997)",Annie Hall (1977),"Godfather: Part II, The (1974)",Richard III (1995),Like Water for Chocolate (Como agua para chocolate) (1992),Pulp Fiction (1994)
Louise Jones,324,Inception (2010),"Shawshank Redemption, The (1994)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Two Towers, The (2002)","Avengers, The (2012)",The Martian (2015),Iron Man (2008),"Wolf of Wall Street, The (2013)",Star Trek (2009),Sherlock Holmes (2009),"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",Avatar (2009),"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)"
Louise Jones,325,Executive Decision (1996),Tin Cup (1996),Dragonheart (1996),Courage Under Fire (1996),"River Wild, The (1994)",Multiplicity (1996),James and the Giant Peach (1996),"Juror, The (1996)",Sgt. Bilko (1996),Shine (1996),Heat (1995),Fargo (1996),"Great White Hype, The (1996)"
Louise Jones,326,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Pulp Fiction (1994),American History X (1998),"Departed, The (2006)",Schindler's List (1993),Batman Begins (2005),"Godfather, The (1972)",V for Vendetta (2006),Saving Private Ryan (1998),Good Will Hunting (1997),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)"
Louise Jones,327,True Lies (1994),Terminator 2: Judgment Day (1991),"Usual Suspects, The (1995)",Forrest Gump (1994),Die Hard: With a Vengeance (1995),Apollo 13 (1995),Pulp Fiction (1994),Jurassic Park (1993),Braveheart (1995),Seven (a.k.a. Se7en) (1995),Johnny Mnemonic (1995),"Net, The (1995)",Interview with the Vampire: The Vampire Chronicles (1994)
Louise Jones,328,While You Were Sleeping (1995),Ghost (1990),Aladdin (1992),Beauty and the Beast (1991),Get Shorty (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Pretty Woman (1990),Sleepless in Seattle (1993),Four Weddings and a Funeral (1994),"Lion King, The (1994)","American President, The (1995)",Braveheart (1995),Apollo 13 (1995)
Louise Jones,329,Speed (1994),Terminator 2: Judgment Day (1991),GoldenEye (1995),Schindler's List (1993),Mrs. Doubtfire (1993),Quiz Show (1994),Addams Family Values (1993),Natural Born Killers (1994),Ghost (1990),"Usual Suspects, The (1995)",Toy Story (1995),"American President, The (1995)",Seven (a.k.a. Se7en) (1995)
Louise Jones,330,"Fugitive, The (1993)",True Lies (1994),Aladdin (1992),Die Hard: With a Vengeance (1995),Braveheart (1995),Batman Forever (1995),Pulp Fiction (1994),Beauty and the Beast (1991),"Shawshank Redemption, The (1994)",Mrs. Doubtfire (1993),Babe (1995),Mr. Holland's Opus (1995),Crimson Tide (1995)
Louise Jones,331,"Silence of the Lambs, The (1991)",Crimson Tide (1995),Get Shorty (1995),Interview with the Vampire: The Vampire Chronicles (1994),"Net, The (1995)",While You Were Sleeping (1995),Star Trek: Generations (1994),Batman Forever (1995),Stargate (1994),Beauty and the Beast (1991),Sense and Sensibility (1995),Dead Man Walking (1995),Seven (a.k.a. Se7en) (1995)
Louise Jones,332,"Lord of the Rings: The Fellowship of the Ring, The (2001)","Monsters, Inc. (2001)",High Fidelity (2000),Memento (2000),Life Is Beautiful (La Vita è bella) (1997),Lost in Translation (2003),"Lord of the Rings: The Two Towers, The (2002)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Incredibles, The (2004)",Chicken Run (2000),Casablanca (1942),Lawrence of Arabia (1962),Arsenic and Old Lace (1944)
Louise Jones,333,Gladiator (2000),Schindler's List (1993),E.T. the Extra-Terrestrial (1982),American Beauty (1999),Cast Away (2000),Forrest Gump (1994),Stand by Me (1986),Alien (1979),Pretty Woman (1990),Rain Man (1988),Jumanji (1995),"Birdcage, The (1996)",Apollo 13 (1995)
Louise Jones,334,"Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),Goodfellas (1990),"Clockwork Orange, A (1971)",Kill Bill: Vol. 1 (2003),"Silence of the Lambs, The (1991)",City of God (Cidade de Deus) (2002),Memento (2000),"Godfather: Part II, The (1974)",Kill Bill: Vol. 2 (2004),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Shawshank Redemption, The (1994)",In the Name of the Father (1993)
Louise Jones,335,"Matrix, The (1999)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Back to the Future (1985),Batman Begins (2005),Avatar (2009),Indiana Jones and the Last Crusade (1989),WALL·E (2008),"Dark Knight Rises, The (2012)",Saving Private Ryan (1998),Gladiator (2000),Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)",Star Wars: Episode V - The Empire Strikes Back (1980)
Louise Jones,336,American Beauty (1999),"Shawshank Redemption, The (1994)",Inception (2010),Eternal Sunshine of the Spotless Mind (2004),Forrest Gump (1994),Requiem for a Dream (2000),"Green Mile, The (1999)",Memento (2000),Trainspotting (1996),Donnie Darko (2001),"Clockwork Orange, A (1971)",American History X (1998),101 Reykjavik (101 Reykjavík) (2000)
Louise Jones,337,"Silence of the Lambs, The (1991)",Forrest Gump (1994),Fight Club (1999),"Godfather, The (1972)","Matrix, The (1999)","Dark Knight, The (2008)",Seven (a.k.a. Se7en) (1995),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Reservoir Dogs (1992),Memento (2000),"Usual Suspects, The (1995)",In the Name of the Father (1993),Inception (2010)
Louise Jones,338,Rushmore (1998),Apollo 13 (1995),E.T. the Extra-Terrestrial (1982),Mrs. Doubtfire (1993),"Graduate, The (1967)",Ferris Bueller's Day Off (1986),Psycho (1960),Raising Arizona (1987),Being John Malkovich (1999),Young Frankenstein (1974),"African Queen, The (1951)",Manhattan (1979),Along Came Polly (2004)
Louise Jones,339,Toy Story 2 (1999),Pulp Fiction (1994),Up (2009),"Lion King, The (1994)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),WALL·E (2008),Groundhog Day (1993),Ferris Bueller's Day Off (1986),Toy Story 3 (2010),Star Wars: Episode IV - A New Hope (1977),Jurassic Park (1993),Back to the Future (1985),"Breakfast Club, The (1985)"
Louise Jones,340,Mr. Holland's Opus (1995),Jerry Maguire (1996),"Truth About Cats & Dogs, The (1996)",Heat (1995),Sabrina (1995),"Nutty Professor, The (1996)","Time to Kill, A (1996)",Ransom (1996),Primal Fear (1996),"English Patient, The (1996)",Sense and Sensibility (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Postman, The (Postino, Il) (1994)"
Louise Jones,341,Pulp Fiction (1994),Independence Day (a.k.a. ID4) (1996),Stargate (1994),Braveheart (1995),"Silence of the Lambs, The (1991)","Mask, The (1994)","Lion King, The (1994)",Batman Forever (1995),Beauty and the Beast (1991),Clear and Present Danger (1994),Jumanji (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Showgirls (1995)
Louise Jones,342,"Godfather: Part II, The (1974)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Reservoir Dogs (1992),Blade Runner (1982),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),American Beauty (1999),Star Wars: Episode VI - Return of the Jedi (1983),Casablanca (1942),Seven (a.k.a. Se7en) (1995),Toy Story (1995),"Usual Suspects, The (1995)",Taxi Driver (1976),Before the Rain (Pred dozhdot) (1994)
Louise Jones,343,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Léon: The Professional (a.k.a. The Professional) (Léon) (1994),American Beauty (1999),2001: A Space Odyssey (1968),Kill Bill: Vol. 1 (2003),"Big Lebowski, The (1998)",Goodfellas (1990),Wallace & Gromit: The Wrong Trousers (1993),Snatch (2000),Annie Hall (1977),"Usual Suspects, The (1995)",Pulp Fiction (1994),Blade Runner (1982)
Louise Jones,344,"Silence of the Lambs, The (1991)",Stargate (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Batman Forever (1995),Clear and Present Danger (1994),Natural Born Killers (1994),Interview with the Vampire: The Vampire Chronicles (1994),"Shawshank Redemption, The (1994)",Terminator 2: Judgment Day (1991),Apollo 13 (1995),Seven (a.k.a. Se7en) (1995),Desperado (1995),Pulp Fiction (1994)
Louise Jones,345,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Full Metal Jacket (1987),Poltergeist (1982),"Others, The (2001)",American History X (1998),"Royal Tenenbaums, The (2001)",Mulholland Drive (2001),Rear Window (1954),The Devil's Advocate (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Casino (1995),"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Seven (a.k.a. Se7en) (1995)
Louise Jones,346,"Godfather: Part II, The (1974)","Usual Suspects, The (1995)",Goodfellas (1990),Star Wars: Episode V - The Empire Strikes Back (1980),Fight Club (1999),Pulp Fiction (1994),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),American Pie (1999),Taxi Driver (1976),"Hudsucker Proxy, The (1994)","Godfather, The (1972)"
Louise Jones,347,"Lord of the Rings: The Two Towers, The (2002)",Shrek (2001),Star Wars: Episode V - The Empire Strikes Back (1980),Batman Begins (2005),Saving Private Ryan (1998),Pulp Fiction (1994),Jurassic Park (1993),Good Will Hunting (1997),"Beautiful Mind, A (2001)",Spider-Man (2002),Forrest Gump (1994),How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),How to Lose a Guy in 10 Days (2003)
Louise Jones,348,American Beauty (1999),"Lord of the Rings: The Two Towers, The (2002)",Pulp Fiction (1994),"Lord of the Rings: The Return of the King, The (2003)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Being John Malkovich (1999),"Silence of the Lambs, The (1991)",Toy Story 2 (1999),Finding Nemo (2003),Schindler's List (1993),"Usual Suspects, The (1995)",Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Louise Jones,349,"Lord of the Rings: The Two Towers, The (2002)",Fight Club (1999),Inception (2010),Gladiator (2000),"Shawshank Redemption, The (1994)",Star Wars: Episode V - The Empire Strikes Back (1980),Schindler's List (1993),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Star Wars: Episode IV - A New Hope (1977),Terminator 2: Judgment Day (1991),Forrest Gump (1994),Jurassic Park (1993),Armageddon (1998)
Louise Jones,350,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode VI - Return of the Jedi (1983),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Monty Python and the Holy Grail (1975),Back to the Future (1985),"Usual Suspects, The (1995)","Lord of the Rings: The Two Towers, The (2002)",Aliens (1986),"Shawshank Redemption, The (1994)",Ferris Bueller's Day Off (1986),Pulp Fiction (1994),Star Wars: Episode V - The Empire Strikes Back (1980),"Lord of the Rings: The Fellowship of the Ring, The (2001)"
Louise Jones,351,Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Stand by Me (1986),Taxi Driver (1976),Groundhog Day (1993),"Godfather: Part II, The (1974)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),L.A. Confidential (1997),Amadeus (1984),"Graduate, The (1967)",Fargo (1996),Rear Window (1954),North by Northwest (1959)
Louise Jones,352,Dances with Wolves (1990),Clear and Present Danger (1994),Braveheart (1995),Stargate (1994),Outbreak (1995),"Mask, The (1994)",Star Trek: Generations (1994),"Firm, The (1993)",Mrs. Doubtfire (1993),Cliffhanger (1993),Heat (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Clueless (1995)
Louise Jones,353,Broken Arrow (1996),"Birdcage, The (1996)",Phenomenon (1996),"Nutty Professor, The (1996)",Jerry Maguire (1996),Fargo (1996),"Time to Kill, A (1996)","Truth About Cats & Dogs, The (1996)",Dead Man Walking (1995),Father of the Bride Part II (1995),Tin Cup (1996),Grumpier Old Men (1995),Sudden Death (1995)
Louise Jones,354,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Shrek (2001),Love Actually (2003),Braveheart (1995),"Monsters, Inc. (2001)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Inception (2010),10 Things I Hate About You (1999),Titanic (1997),Before Sunrise (1995),Jurassic Park (1993),Gladiator (2000)
Louise Jones,355,Deadpool (2016),Memento (2000),Kill Bill: Vol. 2 (2004),Logan (2017),"Exorcist, The (1973)",Inception (2010),Django Unchained (2012),21 Jump Street (2012),Edge of Tomorrow (2014),Star Wars: Episode VII - The Force Awakens (2015),Toy Story (1995),Clueless (1995),Seven (a.k.a. Se7en) (1995)
Louise Jones,356,Forrest Gump (1994),Braveheart (1995),Beauty and the Beast (1991),Die Hard: With a Vengeance (1995),While You Were Sleeping (1995),Ace Ventura: Pet Detective (1994),Speed (1994),Seven (a.k.a. Se7en) (1995),"Firm, The (1993)",Crimson Tide (1995),Pulp Fiction (1994),Babe (1995),"Usual Suspects, The (1995)"
Louise Jones,357,Eternal Sunshine of the Spotless Mind (2004),RoboCop (1987),"Fly, The (1986)","Sound of Music, The (1965)",Misery (1990),Trainspotting (1996),"Abyss, The (1989)",Slumdog Millionaire (2008),Spirited Away (Sen to Chihiro no kamikakushi) (2001),"Beautiful Mind, A (2001)",Pink Floyd: The Wall (1982),Mulholland Drive (2001),"Piano Teacher, The (La pianiste) (2001)"
Louise Jones,358,Interstellar (2014),"Sixth Sense, The (1999)","Lion King, The (1994)",Finding Nemo (2003),Batman Begins (2005),Requiem for a Dream (2000),Braveheart (1995),Whiplash (2014),"Incredibles, The (2004)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),Inception (2010),Drive (2011),"Godfather: Part II, The (1974)"
Louise Jones,359,Monty Python and the Holy Grail (1975),Rear Window (1954),It's a Wonderful Life (1946),"Hunt for Red October, The (1990)","Fifth Element, The (1997)",Mrs. Doubtfire (1993),Bringing Up Baby (1938),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)","League of Their Own, A (1992)",Arsenic and Old Lace (1944),Toy Story (1995),Star Wars: Episode IV - A New Hope (1977),Four Weddings and a Funeral (1994)
Louise Jones,360,Twister (1996),"Truth About Cats & Dogs, The (1996)",Sabrina (1995),Sense and Sensibility (1995),"Postman, The (Postino, Il) (1994)",Down Periscope (1996),Kingpin (1996),"English Patient, The (1996)",Trainspotting (1996),Striptease (1996),Bed of Roses (1996),White Squall (1996),"Birdcage, The (1996)"
Louise Jones,361,Aladdin (1992),Shrek (2001),Beauty and the Beast (1991),Jurassic Park (1993),Inception (2010),Titanic (1997),WALL·E (2008),Schindler's List (1993),Slumdog Millionaire (2008),Toy Story (1995),Forrest Gump (1994),"Lion King, The (1994)",Mulan (1998)
Louise Jones,362,Star Wars: Episode V - The Empire Strikes Back (1980),Iron Man (2008),Back to the Future (1985),WALL·E (2008),"Princess Bride, The (1987)","Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)",Star Wars: Episode IV - A New Hope (1977),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Die Hard (1988),Terminator 2: Judgment Day (1991),Monty Python and the Holy Grail (1975),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Louise Jones,363,Dances with Wolves (1990),Outbreak (1995),Aladdin (1992),Terminator 2: Judgment Day (1991),Stargate (1994),Speed (1994),Schindler's List (1993),Star Trek: Generations (1994),Interview with the Vampire: The Vampire Chronicles (1994),"Net, The (1995)",Braveheart (1995),Dumb & Dumber (Dumb and Dumber) (1994),"Shawshank Redemption, The (1994)"
Louise Jones,364,"Princess Bride, The (1987)",Chinatown (1974),Run Lola Run (Lola rennt) (1998),Rear Window (1954),2001: A Space Odyssey (1968),Shakespeare in Love (1998),"Maltese Falcon, The (1941)",L.A. Confidential (1997),Reservoir Dogs (1992),Blade Runner (1982),Babe (1995),Taxi Driver (1976),Pulp Fiction (1994)
Louise Jones,365,"Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Inception (2010),V for Vendetta (2006),"Dark Knight Rises, The (2012)","Bourne Identity, The (2002)",Star Wars: Episode V - The Empire Strikes Back (1980),Guardians of the Galaxy (2014),"Departed, The (2006)","Avengers, The (2012)","Bourne Ultimatum, The (2007)",Furious 7 (2015),"Matrix, The (1999)"
Louise Jones,366,True Lies (1994),Apollo 13 (1995),Die Hard: With a Vengeance (1995),Babe (1995),Seven (a.k.a. Se7en) (1995),Star Trek: Generations (1994),Outbreak (1995),"Lion King, The (1994)",Quiz Show (1994),Mrs. Doubtfire (1993),"Usual Suspects, The (1995)","Hate (Haine, La) (1995)",Braveheart (1995)
Louise Jones,367,Arrival (2016),Gone Girl (2014),Whiplash (2014),Django Unchained (2012),Deadpool (2016),Split (2017),The Martian (2015),Interstellar (2014),Logan (2017),Edge of Tomorrow (2014),Kiss Kiss Bang Bang (2005),Children of Men (2006),Triangle (2009)
Louise Jones,368,Ferris Bueller's Day Off (1986),Forrest Gump (1994),Up (2009),"Fifth Element, The (1997)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Dark Knight, The (2008)",Catch Me If You Can (2002),Star Wars: Episode IV - A New Hope (1977),"Monsters, Inc. (2001)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Pulp Fiction (1994),Terminator 2: Judgment Day (1991),"Terminator, The (1984)"
Louise Jones,369,Monty Python and the Holy Grail (1975),Monty Python's Life of Brian (1979),"Princess Bride, The (1987)","Blues Brothers, The (1980)",Groundhog Day (1993),Chicken Run (2000),Wallace & Gromit: A Close Shave (1995),Airplane! (1980),Star Wars: Episode IV - A New Hope (1977),Shrek (2001),Toy Story (1995),Mary Poppins (1964),Wallace & Gromit: The Wrong Trousers (1993)
Louise Jones,370,Blade Runner (1982),Aliens (1986),Clear and Present Danger (1994),True Lies (1994),One Flew Over the Cuckoo's Nest (1975),Fight Club (1999),Fantasia (1940),Die Hard: With a Vengeance (1995),Desperado (1995),Unforgiven (1992),Babe (1995),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)"
Louise Jones,371,Get Shorty (1995),While You Were Sleeping (1995),Home Alone (1990),Legends of the Fall (1994),Babe (1995),Philadelphia (1993),Addams Family Values (1993),"American President, The (1995)",Phenomenon (1996),"Santa Clause, The (1994)",Toy Story (1995),Heat (1995),GoldenEye (1995)
Louise Jones,372,Forrest Gump (1994),Fargo (1996),"Fugitive, The (1993)",Braveheart (1995),Dead Man Walking (1995),Dances with Wolves (1990),Star Wars: Episode IV - A New Hope (1977),Phenomenon (1996),True Lies (1994),Sense and Sensibility (1995),Apollo 13 (1995),Pulp Fiction (1994),"Shawshank Redemption, The (1994)"
Louise Jones,373,Eternal Sunshine of the Spotless Mind (2004),Pulp Fiction (1994),Up (2009),"Lion King, The (1994)","Monsters, Inc. (2001)",WALL·E (2008),Jurassic Park (1993),Finding Nemo (2003),Black Swan (2010),"Shawshank Redemption, The (1994)",Fight Club (1999),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Catch Me If You Can (2002)
Louise Jones,374,"Silence of the Lambs, The (1991)",Die Hard: With a Vengeance (1995),Apollo 13 (1995),Babe (1995),Clear and Present Danger (1994),Stargate (1994),GoldenEye (1995),Star Trek: Generations (1994),Crimson Tide (1995),Jumanji (1995),Casino (1995),Braveheart (1995),"Birdcage, The (1996)"
Louise Jones,375,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Forrest Gump (1994),Aliens (1986),Independence Day (a.k.a. ID4) (1996),Indiana Jones and the Last Crusade (1989),"Usual Suspects, The (1995)",Snatch (2000),"Lord of the Rings: The Return of the King, The (2003)",2001: A Space Odyssey (1968),Die Hard (1988),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,376,Forrest Gump (1994),"Usual Suspects, The (1995)","Godfather, The (1972)",Interstellar (2014),Gone Girl (2014),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Kill Bill: Vol. 1 (2003),Snatch (2000),V for Vendetta (2006),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Pulp Fiction (1994),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)"
Louise Jones,377,Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Saving Private Ryan (1998),"Shawshank Redemption, The (1994)",Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Goodfellas (1990),"Princess Bride, The (1987)",Batman (1989),Citizen Kane (1941),Braveheart (1995),"Godfather, The (1972)",Casablanca (1942)
Louise Jones,378,Schindler's List (1993),E.T. the Extra-Terrestrial (1982),One Flew Over the Cuckoo's Nest (1975),Finding Nemo (2003),"Lion King, The (1994)",Goodfellas (1990),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Two Towers, The (2002)",Kill Bill: Vol. 1 (2003),Men in Black (a.k.a. MIB) (1997),Forrest Gump (1994),Citizen Kane (1941),"Green Mile, The (1999)"
Louise Jones,379,Apollo 13 (1995),"Lion King, The (1994)",Schindler's List (1993),Casablanca (1942),Lethal Weapon (1987),Twister (1996),Ghost (1990),Seven (a.k.a. Se7en) (1995),Mission: Impossible (1996),Ratatouille (2007),"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Misery (1990)
Louise Jones,380,Back to the Future (1985),"Monsters, Inc. (2001)",Airplane! (1980),There's Something About Mary (1998),Ferris Bueller's Day Off (1986),"Bug's Life, A (1998)",Big (1988),"Sixth Sense, The (1999)","Mask, The (1994)",Babe (1995),Butch Cassidy and the Sundance Kid (1969),Forrest Gump (1994),"Poseidon Adventure, The (1972)"
Louise Jones,381,Pulp Fiction (1994),"Usual Suspects, The (1995)",Forrest Gump (1994),One Flew Over the Cuckoo's Nest (1975),"Lion King, The (1994)","Godfather: Part II, The (1974)",Star Wars: Episode IV - A New Hope (1977),Chicken Run (2000),Ratatouille (2007),Up (2009),Toy Story (1995),Finding Nemo (2003),He's Just Not That Into You (2009)
Louise Jones,382,Sherlock Holmes (2009),Star Wars: Episode VII - The Force Awakens (2015),Harry Potter and the Half-Blood Prince (2009),Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Deathly Hallows: Part 1 (2010),Iron Man 2 (2010),Mad Max: Fury Road (2015),The Imitation Game (2014),Skyfall (2012),The Hunger Games (2012),Braveheart (1995),"Green Mile, The (1999)","Lord of the Rings: The Fellowship of the Ring, The (2001)"
Louise Jones,383,Toy Story (1995),"Rock, The (1996)",Eraser (1996),Mr. Holland's Opus (1995),Jerry Maguire (1996),Sense and Sensibility (1995),Phenomenon (1996),"Nutty Professor, The (1996)",Executive Decision (1996),"Postman, The (Postino, Il) (1994)",Fargo (1996),Trainspotting (1996),Willy Wonka & the Chocolate Factory (1971)
Louise Jones,384,Alien (1979),Terminator 2: Judgment Day (1991),Jurassic Park (1993),"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Pulp Fiction (1994),Star Wars: Episode VI - Return of the Jedi (1983),"Fugitive, The (1993)","Matrix, The (1999)",Aliens (1986),"Breakfast Club, The (1985)",Star Wars: Episode I - The Phantom Menace (1999)
Louise Jones,385,Citizen Kane (1941),Goodfellas (1990),Singin' in the Rain (1952),Vertigo (1958),Seven Samurai (Shichinin no samurai) (1954),Schindler's List (1993),Psycho (1960),Apocalypse Now (1979),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),2001: A Space Odyssey (1968),Babe (1995),Richard III (1995),Beauty and the Beast (1991)
